Timestamp,Time(s),Mode,Pos_X,Pos_Y,Pos_Z,Yaw,AI_Detections,Alerts
11:39:24.961,15.73,OFFBOARD,3.34,3.21,1.5,0.72,0,None
11:39:25.604,16.38,OFFBOARD,-11.67,2.7,1.5,-1.82,0,None
11:39:26.943,17.72,OFFBOARD,-11.94,1.16,1.5,-1.67,0,None
11:39:28.031,18.81,OFFBOARD,-11.42,-3.5,1.5,-1.21,0,None
11:39:28.818,19.59,OFFBOARD,-9.61,-5.75,1.5,-0.44,0,None
11:39:29.150,19.92,OFFBOARD,-7.54,-5.86,1.5,0.27,0,None
11:39:29.491,20.26,OFFBOARD,-6.61,-5.52,1.5,0.44,0,None
11:39:29.807,20.58,OFFBOARD,-5.56,-4.93,1.5,0.57,0,None
11:39:30.742,21.51,OFFBOARD,-2.37,-2.32,1.5,0.75,0,None
11:39:31.038,21.81,OFFBOARD,-1.3,-1.29,1.5,0.78,0,None
11:39:31.352,22.12,OFFBOARD,-0.22,-0.22,1.5,0.79,0,None
11:39:31.658,22.43,OFFBOARD,0.88,0.88,1.5,0.78,0,None
11:39:31.982,22.75,OFFBOARD,2.07,2.04,1.5,0.76,0,None
11:39:32.302,23.08,OFFBOARD,3.18,3.06,1.5,0.73,0,None
11:39:32.590,23.36,OFFBOARD,4.19,3.93,1.5,0.68,0,None
11:39:32.923,23.7,OFFBOARD,5.27,4.74,1.5,0.6,0,None
11:39:33.225,24.0,OFFBOARD,6.18,5.3,1.5,0.5,1,None
11:39:33.552,24.32,OFFBOARD,7.14,5.74,1.5,0.35,1,None
11:39:33.866,24.64,OFFBOARD,8.05,5.97,1.5,0.13,4,None
11:39:34.173,24.95,OFFBOARD,8.83,5.98,1.5,-0.12,1,None
11:39:34.452,25.23,OFFBOARD,9.52,5.8,1.5,-0.4,2,None
11:39:34.771,25.54,OFFBOARD,10.18,5.39,1.5,-0.69,3,None
11:39:35.079,25.85,OFFBOARD,10.71,4.83,1.5,-0.92,4,None
11:39:35.347,26.12,OFFBOARD,11.13,4.16,1.5,-1.09,3,None
11:39:35.632,26.4,OFFBOARD,11.47,3.38,1.5,-1.23,2,None
11:39:35.933,26.71,OFFBOARD,11.74,2.44,1.5,-1.35,3,None
11:39:36.244,27.02,OFFBOARD,11.91,1.42,1.5,-1.45,2,None
11:39:38.525,29.3,OFFBOARD,10.14,-5.42,1.5,-2.47,3,None
11:39:38.812,29.59,OFFBOARD,9.54,-5.79,1.5,-2.73,3,None
11:39:39.096,29.87,OFFBOARD,8.89,-5.97,1.5,-3.0,2,None
11:39:39.396,30.17,OFFBOARD,8.15,-5.98,1.5,3.04,2,None
11:39:43.376,34.15,OFFBOARD,-5.16,4.66,1.5,2.53,2,None
11:39:43.695,34.47,OFFBOARD,-6.19,5.3,1.5,2.64,3,None
11:39:44.079,34.85,OFFBOARD,-7.3,5.79,1.5,2.82,2,None
11:39:44.440,35.21,OFFBOARD,-8.26,5.99,1.5,3.07,3,None
11:39:44.810,35.58,OFFBOARD,-9.21,5.9,1.5,-2.87,2,None
11:39:45.494,36.27,OFFBOARD,-10.57,5.01,1.5,-2.28,3,None
11:39:45.818,36.59,OFFBOARD,-11.09,4.23,1.5,-2.06,2,None
11:39:46.128,36.9,OFFBOARD,-11.48,3.33,1.5,-1.91,2,None
11:39:46.438,37.21,OFFBOARD,-11.75,2.37,1.5,-1.79,2,None
11:39:46.752,37.52,OFFBOARD,-11.93,1.32,1.5,-1.68,2,None
11:39:47.062,37.83,OFFBOARD,-12.0,0.14,1.5,-1.58,2,None
11:39:47.385,38.16,OFFBOARD,-11.96,-0.98,1.5,-1.49,2,None
11:39:47.702,38.48,OFFBOARD,-11.82,-2.05,1.5,-1.39,2,None
11:39:47.997,38.77,OFFBOARD,-11.56,-3.11,1.5,-1.27,2,None
11:39:48.293,39.07,OFFBOARD,-11.24,-3.93,1.5,-1.14,3,None
11:39:48.623,39.4,OFFBOARD,-10.79,-4.72,1.5,-0.95,2,None
11:39:49.109,39.88,OFFBOARD,-10.01,-5.52,1.5,-0.62,2,None
11:39:49.499,40.27,OFFBOARD,-9.15,-5.92,1.5,-0.25,2,None
11:39:49.819,40.59,OFFBOARD,-8.26,-5.99,1.5,0.07,2,None
11:39:50.249,41.02,OFFBOARD,-7.11,-5.73,1.5,0.35,3,None
11:39:50.619,41.39,OFFBOARD,-5.98,-5.19,1.5,0.53,2,None
11:39:50.937,41.71,OFFBOARD,-4.86,-4.44,1.5,0.63,2,None
11:39:51.331,42.1,OFFBOARD,-3.65,-3.48,1.5,0.71,2,None
11:39:51.652,42.42,OFFBOARD,-2.5,-2.44,1.5,0.75,2,None
11:39:51.969,42.74,OFFBOARD,-1.44,-1.43,1.5,0.77,3,None
11:39:52.442,43.22,OFFBOARD,0.23,0.23,1.5,0.79,2,None
11:39:52.808,43.58,OFFBOARD,1.7,1.69,1.5,0.77,2,None
11:39:53.165,43.94,OFFBOARD,2.93,2.84,1.5,0.74,2,None
11:39:53.545,44.32,OFFBOARD,4.06,3.82,1.5,0.69,3,None
11:39:53.934,44.71,OFFBOARD,5.45,4.85,1.5,0.58,3,None
11:39:54.355,45.13,OFFBOARD,6.75,5.58,1.5,0.42,2,None
11:39:54.697,45.47,OFFBOARD,7.73,5.91,1.5,0.22,0,None
11:39:55.096,45.87,OFFBOARD,8.7,5.99,1.5,-0.07,3,None
11:39:55.476,46.25,OFFBOARD,9.66,5.73,1.5,-0.46,3,None
11:39:55.965,46.74,OFFBOARD,10.59,4.98,1.5,-0.87,2,None
11:39:56.291,47.06,OFFBOARD,11.12,4.18,1.5,-1.09,3,None
11:39:56.625,47.4,OFFBOARD,11.51,3.25,1.5,-1.25,3,None
11:39:57.008,47.78,OFFBOARD,11.81,2.07,1.5,-1.39,2,None
11:39:57.405,48.18,OFFBOARD,11.98,0.71,1.5,-1.51,2,None
11:39:57.756,48.53,OFFBOARD,11.99,-0.48,1.5,-1.61,2,None
11:39:58.358,49.13,OFFBOARD,11.71,-2.55,1.5,-1.81,2,None
11:39:58.639,49.41,OFFBOARD,11.41,-3.54,1.5,-1.94,2,None
11:39:58.914,49.69,OFFBOARD,11.01,-4.37,1.5,-2.1,2,None
11:39:59.286,50.06,OFFBOARD,10.5,-5.08,1.5,-2.31,3,None
11:39:59.586,50.36,OFFBOARD,9.9,-5.59,1.5,-2.57,2,None
11:39:59.878,50.65,OFFBOARD,9.29,-5.88,1.5,-2.84,3,None
11:40:00.318,51.09,OFFBOARD,8.28,-5.99,1.5,3.08,3,None
11:40:00.687,51.46,OFFBOARD,7.2,-5.76,1.5,2.8,2,None
